                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.8134,                 5.2144,                 4.0182,                  9e-05,                0.00038,                  4e-05,                  2e-05,                 6.9372,                 4.7916,                 3.8714,             0.00054384,             0.00054384,             0.00054384
                      2,                 6.0898,                 3.4265,                 3.0584,                0.00499,                0.03763,                0.00364,                0.00088,                 5.7597,                 3.2236,                 2.6165,              0.0010941,              0.0010941,              0.0010941
                      3,                 5.6712,                  2.865,                 2.5251,                0.01659,                0.03117,                0.00592,                0.00145,                 5.7034,                 2.9756,                   2.48,              0.0016388,              0.0016388,              0.0016388
                      4,                  5.535,                 2.7474,                 2.2669,                0.05385,                0.06043,                0.01567,                 0.0044,                 5.5197,                 2.8643,                 2.1097,              0.0016422,              0.0016422,              0.0016422
                      5,                 5.4546,                 2.6586,                 2.1013,                0.04987,                0.08275,                0.02205,                0.00624,                 5.4157,                 2.6159,                 2.0137,               0.001634,               0.001634,               0.001634
                      6,                 5.4093,                 2.6122,                 2.0234,                0.03716,                0.11281,                0.02169,                0.00616,                 5.4067,                 2.5183,                 1.9982,              0.0016257,              0.0016257,              0.0016257
                      7,                 5.3586,                 2.5504,                 1.9613,                0.06366,                0.09598,                0.03028,                0.00808,                 5.3327,                 2.3976,                 1.9619,              0.0016175,              0.0016175,              0.0016175
                      8,                 5.3249,                 2.5055,                 1.8947,                0.05442,                0.11438,                0.02851,                0.00793,                 5.3242,                 2.4555,                 1.8891,              0.0016092,              0.0016092,              0.0016092
                      9,                 5.3001,                 2.4843,                 1.8743,                0.07986,                0.08743,                 0.0311,                0.00871,                 5.3033,                 2.4083,                 1.8605,               0.001601,               0.001601,               0.001601
                     10,                 5.2802,                 2.4418,                 1.8245,                0.05299,                0.14093,                0.03464,                0.00964,                 5.2914,                 2.3983,                 1.8154,              0.0015927,              0.0015927,              0.0015927
                     11,                 5.2647,                 2.4103,                 1.8119,                0.09892,                0.10254,                 0.0398,                0.01194,                 5.2467,                 2.2851,                 1.8128,              0.0015845,              0.0015845,              0.0015845
                     12,                 5.2523,                 2.3785,                 1.7751,                 0.1034,                0.09733,                0.04337,                0.01269,                 5.2426,                 2.2785,                 1.7725,              0.0015762,              0.0015762,              0.0015762
                     13,                 5.2276,                  2.348,                 1.7777,                 0.0951,                0.10126,                 0.0396,                0.01202,                 5.2719,                 2.3647,                 1.7783,               0.001568,               0.001568,               0.001568
                     14,                 5.2236,                 2.3184,                 1.7593,                 0.1337,                0.10456,                0.05529,                0.01679,                 5.1989,                 2.2074,                 1.7802,              0.0015597,              0.0015597,              0.0015597
                     15,                 5.2235,                 2.2926,                 1.7239,                0.14382,                0.09584,                 0.0578,                 0.0173,                  5.219,                 2.2062,                 1.7117,              0.0015515,              0.0015515,              0.0015515
                     16,                 5.1976,                 2.2805,                 1.7133,                0.12638,                0.09621,                0.04991,                0.01503,                 5.2359,                 2.2422,                  1.716,              0.0015432,              0.0015432,              0.0015432
                     17,                 5.1999,                 2.2509,                 1.6829,                0.11967,                0.10401,                0.05212,                 0.0141,                    5.2,                 2.2329,                 1.7094,               0.001535,               0.001535,               0.001535
                     18,                 5.1791,                 2.2336,                 1.6779,                0.15279,                0.11693,                0.06649,                0.02136,                  5.156,                 2.1179,                 1.7011,              0.0015267,              0.0015267,              0.0015267
                     19,                 5.1759,                 2.2129,                 1.6615,                0.18125,                0.11473,                0.07457,                0.02436,                 5.1556,                 2.1019,                 1.6704,              0.0015185,              0.0015185,              0.0015185
                     20,                 5.1563,                 2.1722,                  1.658,                0.16932,                0.12185,                0.07706,                0.02661,                 5.1435,                 2.0875,                 1.6426,              0.0015102,              0.0015102,              0.0015102
                     21,                 5.1488,                 2.1565,                  1.628,                0.19071,                0.12164,                0.08278,                0.02759,                 5.1323,                 2.0481,                 1.6179,               0.001502,               0.001502,               0.001502
                     22,                 5.1431,                 2.1246,                 1.6212,                0.16702,                0.12603,                0.07736,                0.02609,                 5.1395,                 2.0824,                 1.6097,              0.0014937,              0.0014937,              0.0014937
                     23,                 5.1336,                 2.1084,                 1.6097,                 0.1967,                0.13562,                0.09388,                0.03222,                 5.1403,                 1.9981,                 1.5833,              0.0014855,              0.0014855,              0.0014855
                     24,                 5.1212,                 2.0811,                 1.5887,                0.20234,                0.13357,                0.09578,                0.03312,                 5.1179,                 1.9909,                 1.6102,              0.0014772,              0.0014772,              0.0014772
                     25,                 5.1225,                 2.0626,                  1.572,                0.20588,                0.13571,                0.09849,                0.03369,                 5.1144,                 1.9787,                 1.6014,               0.001469,               0.001469,               0.001469
                     26,                 5.1152,                 2.0383,                 1.5646,                0.18676,                0.12915,                0.08784,                0.02873,                 5.1039,                 1.9861,                 1.5993,              0.0014607,              0.0014607,              0.0014607
                     27,                 5.1015,                 2.0156,                  1.553,                0.23758,                0.13621,                0.10747,                0.03821,                 5.1086,                 1.9026,                 1.5451,              0.0014525,              0.0014525,              0.0014525
                     28,                 5.0962,                 1.9889,                 1.5472,                0.22221,                0.13295,                 0.1019,                 0.0362,                 5.1037,                 1.9595,                 1.5426,              0.0014442,              0.0014442,              0.0014442
                     29,                 5.0908,                 1.9883,                 1.5413,                0.21488,                 0.1415,                 0.1056,                0.03619,                 5.0999,                 1.9585,                 1.5589,               0.001436,               0.001436,               0.001436
                     30,                 5.0908,                 1.9635,                 1.5203,                0.22175,                0.14323,                0.10938,                0.03773,                 5.0992,                 1.9034,                 1.5496,              0.0014277,              0.0014277,              0.0014277
                     31,                 5.0794,                 1.9331,                 1.5094,                0.24817,                0.14661,                0.12044,                 0.0423,                  5.057,                 1.8343,                 1.5111,              0.0014195,              0.0014195,              0.0014195
                     32,                  5.079,                 1.9098,                 1.5016,                 0.2465,                0.14757,                0.11971,                0.04262,                 5.0734,                 1.8478,                 1.5032,              0.0014112,              0.0014112,              0.0014112
                     33,                 5.0731,                 1.8767,                 1.4878,                0.22036,                0.13705,                0.10587,                0.03338,                   5.05,                 1.9158,                 1.5171,              0.0014029,              0.0014029,              0.0014029
                     34,                 5.0654,                 1.8904,                 1.4843,                0.27953,                0.16094,                0.13832,                0.05046,                 5.0597,                 1.7784,                 1.4643,              0.0013947,              0.0013947,              0.0013947
                     35,                 5.0659,                 1.8469,                 1.4671,                0.27204,                0.15399,                0.13223,                0.04723,                  5.054,                 1.7956,                 1.4671,              0.0013864,              0.0013864,              0.0013864
                     36,                 5.0605,                 1.8237,                 1.4519,                0.28051,                0.16282,                0.14104,                0.05231,                 5.0578,                  1.761,                 1.4541,              0.0013782,              0.0013782,              0.0013782
                     37,                 5.0582,                 1.8108,                 1.4427,                0.29578,                0.16982,                0.15002,                 0.0573,                 5.0637,                  1.733,                 1.4561,              0.0013699,              0.0013699,              0.0013699
                     38,                 5.0585,                 1.7839,                 1.4314,                0.29109,                0.16598,                0.14554,                0.05277,                 5.0467,                 1.7362,                 1.4437,              0.0013617,              0.0013617,              0.0013617
                     39,                 5.0467,                 1.7696,                 1.4256,                 0.2931,                 0.1708,                0.15058,                0.05157,                 5.0178,                 1.7304,                 1.4569,              0.0013534,              0.0013534,              0.0013534
                     40,                   5.05,                 1.7714,                 1.4251,                0.33369,                0.17236,                0.16302,                 0.0632,                 5.0539,                 1.6672,                 1.4277,              0.0013452,              0.0013452,              0.0013452
                     41,                 5.0396,                 1.7417,                 1.4107,                0.34775,                0.17609,                0.16926,                0.06582,                 5.0476,                 1.6552,                 1.4128,              0.0013369,              0.0013369,              0.0013369
                     42,                 5.0366,                 1.7484,                 1.4121,                0.33318,                0.17114,                0.15978,                 0.0606,                  5.037,                 1.6918,                 1.4064,              0.0013287,              0.0013287,              0.0013287
                     43,                 5.0299,                 1.7105,                 1.3966,                0.31991,                0.17511,                0.16286,                0.05869,                 5.0222,                 1.6901,                 1.4125,              0.0013204,              0.0013204,              0.0013204
                     44,                  5.031,                  1.695,                 1.3886,                0.34812,                0.17665,                0.17076,                0.06513,                 5.0292,                 1.6451,                 1.3865,              0.0013122,              0.0013122,              0.0013122
                     45,                 5.0293,                 1.6713,                 1.3736,                0.33308,                0.17057,                 0.1589,                0.05418,                 4.9803,                 1.6816,                 1.4272,              0.0013039,              0.0013039,              0.0013039
                     46,                 5.0113,                 1.6713,                 1.3863,                0.38648,                0.18819,                 0.1925,                0.07598,                 5.0369,                 1.5692,                 1.3428,              0.0012957,              0.0012957,              0.0012957
                     47,                  5.028,                 1.6426,                 1.3624,                0.39859,                0.19494,                0.19912,                0.08201,                 5.0364,                 1.5419,                 1.3569,              0.0012874,              0.0012874,              0.0012874
                     48,                 5.0225,                 1.6419,                 1.3546,                0.41312,                0.19242,                0.20131,                0.08204,                 5.0399,                 1.5319,                 1.3379,              0.0012792,              0.0012792,              0.0012792
                     49,                 5.0107,                 1.6328,                 1.3596,                0.39777,                0.19228,                0.19739,                0.07972,                  5.026,                 1.5397,                 1.3377,              0.0012709,              0.0012709,              0.0012709
                     50,                 5.0144,                 1.6107,                 1.3481,                0.39314,                0.19508,                0.19948,                0.08026,                 5.0088,                 1.5305,                 1.3374,              0.0012627,              0.0012627,              0.0012627
                     51,                 5.0073,                  1.609,                 1.3402,                0.39001,                0.20445,                0.20163,                0.07908,                 4.9852,                 1.5275,                  1.338,              0.0012544,              0.0012544,              0.0012544
                     52,                 4.9992,                 1.5754,                 1.3278,                0.37316,                0.19468,                0.19186,                0.06924,                 4.9548,                  1.584,                  1.366,              0.0012462,              0.0012462,              0.0012462
                     53,                 5.0148,                 1.5616,                 1.3169,                0.44253,                0.19848,                0.21595,                0.08781,                 5.0045,                 1.4785,                 1.3174,              0.0012379,              0.0012379,              0.0012379
                     54,                 5.0007,                 1.5743,                 1.3244,                0.40287,                0.21022,                0.21725,                 0.0888,                 5.0013,                 1.4833,                 1.3325,              0.0012297,              0.0012297,              0.0012297
                     55,                 4.9933,                 1.5627,                 1.3141,                0.39264,                0.19539,                0.19727,                0.07447,                 4.9573,                 1.5404,                  1.339,              0.0012214,              0.0012214,              0.0012214
                     56,                 4.9916,                 1.5494,                   1.31,                0.43939,                0.20212,                0.21744,                0.08713,                 4.9745,                  1.474,                 1.3075,              0.0012132,              0.0012132,              0.0012132
                     57,                 5.0011,                 1.5027,                 1.2938,                0.44606,                0.20687,                0.22063,                0.09296,                 5.0058,                 1.4497,                 1.3157,              0.0012049,              0.0012049,              0.0012049
                     58,                 4.9887,                  1.518,                 1.2951,                0.42892,                0.21899,                0.22559,                0.09491,                 4.9848,                 1.4414,                 1.2944,              0.0011967,              0.0011967,              0.0011967
                     59,                  4.986,                 1.5047,                 1.2893,                0.44536,                0.21668,                0.23423,                0.10148,                 5.0133,                 1.4143,                 1.2843,              0.0011884,              0.0011884,              0.0011884
                     60,                 4.9806,                 1.5066,                 1.2881,                0.46481,                0.21731,                0.23396,                0.09965,                 5.0005,                  1.402,                 1.2873,              0.0011802,              0.0011802,              0.0011802
                     61,                 4.9811,                 1.4893,                 1.2822,                0.47377,                0.21792,                0.23595,                0.10108,                  4.973,                 1.4149,                 1.2866,              0.0011719,              0.0011719,              0.0011719
                     62,                  4.984,                 1.4731,                   1.27,                0.47921,                0.21916,                0.24078,                0.10376,                 4.9812,                 1.3732,                 1.2591,              0.0011636,              0.0011636,              0.0011636
                     63,                 4.9737,                 1.4675,                 1.2706,                 0.4711,                0.20834,                0.22985,                0.09342,                 4.9359,                 1.4077,                 1.2802,              0.0011554,              0.0011554,              0.0011554
                     64,                  4.987,                 1.4373,                 1.2524,                 0.4906,                0.22817,                0.25217,                 0.1116,                 5.0158,                 1.3613,                 1.2451,              0.0011471,              0.0011471,              0.0011471
                     65,                 4.9724,                 1.4308,                 1.2564,                0.49674,                0.22247,                0.25191,                0.11206,                 4.9956,                 1.3429,                 1.2485,              0.0011389,              0.0011389,              0.0011389
                     66,                 4.9637,                 1.4367,                 1.2574,                 0.4727,                0.22521,                 0.2475,                0.10865,                 4.9684,                  1.351,                 1.2346,              0.0011306,              0.0011306,              0.0011306
                     67,                 4.9687,                 1.4268,                 1.2457,                 0.5099,                0.22694,                0.25628,                 0.1134,                 4.9897,                  1.323,                 1.2385,              0.0011224,              0.0011224,              0.0011224
                     68,                 4.9704,                 1.4195,                   1.25,                0.49086,                0.22351,                0.24798,                0.10462,                 4.9059,                 1.3696,                 1.2528,              0.0011141,              0.0011141,              0.0011141
                     69,                 4.9555,                 1.4069,                 1.2385,                0.51968,                0.22974,                 0.2608,                0.11688,                 4.9847,                 1.3126,                 1.2393,              0.0011059,              0.0011059,              0.0011059
                     70,                 4.9599,                 1.4151,                 1.2419,                0.49811,                0.23544,                0.26493,                0.11959,                 4.9847,                 1.3012,                 1.2183,              0.0010976,              0.0010976,              0.0010976
                     71,                 4.9531,                 1.4077,                 1.2374,                0.51242,                 0.2331,                0.26064,                0.11484,                 4.9528,                 1.3051,                 1.2276,              0.0010894,              0.0010894,              0.0010894
